word,delta_cos,neighbor_jaccard,change_score
মুভমেন্ট,1.0571084916591644,0.0,2.0571084916591644
ভাবনাচিন্ত,1.051498033106327,0.0,2.051498033106327
লঞ্চে,0.9860906852409244,0.0,1.9860906852409244
শুকুর,0.8880183696746826,0.0,1.8880183696746826
গুহ,0.8564057946205139,0.0,1.856405794620514
রেশম,0.8424026519060135,0.0,1.8424026519060135
বাঁধ,0.8098716735839844,0.0,1.8098716735839844
পশ্চিমা,0.7971729636192322,0.0,1.7971729636192322
চি,0.7878526449203491,0.0,1.7878526449203491
জায়গা,0.7870553582906723,0.0,1.7870553582906723
বইতে,0.7825237065553665,0.0,1.7825237065553665
মুনশি,0.7824374139308929,0.0,1.782437413930893
শিষ্য,0.7818824052810669,0.0,1.781882405281067
পারল,0.7812619507312775,0.0,1.7812619507312775
কৌশলে,0.7766558080911636,0.0,1.7766558080911636
আবা,0.7755332291126251,0.0,1.7755332291126251
উপক,0.775178924202919,0.0,1.775178924202919
জিএম,0.772301971912384,0.0,1.772301971912384
স্টার্ট,0.7718663662672043,0.0,1.7718663662672043
চলুন,0.7653375267982483,0.0,1.7653375267982483
