word,delta_cos,neighbor_jaccard,change_score
পাল্,0.910967193543911,0.0,1.910967193543911
সামিল,0.9104260206222534,0.0,1.9104260206222534
কো,0.9098547622561455,0.0,1.9098547622561455
চেম্ব,0.9036324620246887,0.0,1.9036324620246887
দীর্ঘদিন,0.9007825329899788,0.0,1.9007825329899788
তুফান,0.8970913738012314,0.0,1.8970913738012314
সত্যতা,0.8933796510100365,0.0,1.8933796510100365
কর্মকর্তা,0.8877862021327019,0.0,1.8877862021327019
স্তরে,0.884136289358139,0.0,1.884136289358139
কাহা,0.8840577155351639,0.0,1.8840577155351639
জিরো,0.8815543875098228,0.0,1.8815543875098228
জোট,0.8801523745059967,0.0,1.8801523745059967
দফা,0.8793128579854965,0.0,1.8793128579854965
সংযুক্ত,0.8768964484333992,0.0,1.8768964484333992
লিজ,0.8744385689496994,0.0,1.8744385689496994
তালিকা,0.8741345703601837,0.0,1.8741345703601837
আরোহী,0.8739225715398788,0.0,1.8739225715398788
মিটে,0.8727453202009201,0.0,1.87274532020092
চালিত,0.8710065186023712,0.0,1.8710065186023712
প্রস্তুতি,0.8675427585840225,0.0,1.8675427585840225
লালন,0.8666793555021286,0.0,1.8666793555021286
বাত,0.8657045364379883,0.0,1.8657045364379883
জনি,0.8642042577266693,0.0,1.8642042577266693
ওল্ড,0.8630159646272659,0.0,1.863015964627266
ঈদ,0.8615657389163971,0.0,1.861565738916397
চলমান,0.861254945397377,0.0,1.861254945397377
উজ্জল,0.8573583215475082,0.0,1.8573583215475082
চ্যান,0.8569803833961487,0.0,1.8569803833961487
সেতু,0.8569097220897675,0.0,1.8569097220897675
লাখো,0.8530087769031525,0.0,1.8530087769031525
লিক,0.8522647470235825,0.0,1.8522647470235825
সূত্র,0.8508914262056351,0.0,1.850891426205635
কিশোরীর,0.8505015224218369,0.0,1.8505015224218369
অজ্ঞাতনামা,0.8479469120502472,0.0,1.8479469120502472
শামা,0.8477458953857422,0.0,1.8477458953857422
খোদ,0.8475885093212128,0.0,1.8475885093212128
জায়গা,0.8473288118839264,0.0,1.8473288118839264
লাবণ্য,0.846686378121376,0.0,1.846686378121376
চিহ্নিত,0.8433907479047775,0.0,1.8433907479047775
কোটা,0.8431631028652191,0.0,1.8431631028652191
পান্না,0.8401283025741577,0.0,1.8401283025741577
হাজারো,0.83754001557827,0.0,1.83754001557827
বেশিরভাগ,0.8371673226356506,0.0,1.8371673226356506
প্রাপ্ত,0.8363779932260513,0.0,1.8363779932260513
শিরোপা,0.8360786736011505,0.0,1.8360786736011505
বাঙ্গালী,0.8357034921646118,0.0,1.8357034921646118
হানিফ,0.8356208801269531,0.0,1.8356208801269531
যথাযথ,0.8354054689407349,0.0,1.8354054689407349
লক্ষে,0.8346098959445953,0.0,1.8346098959445953
তাণ্ডব,0.8343845009803772,0.0,1.8343845009803772
তুললো,0.8340546637773514,0.0,1.8340546637773514
জামাল,0.8329056650400162,0.0,1.8329056650400162
রাস,0.8323594033718109,0.0,1.832359403371811
সম্পর্কিত,0.8321396112442017,0.0,1.8321396112442017
ক্ষতিগ্রস্ত,0.8308968394994736,0.0,1.8308968394994736
দাপট,0.8308796435594559,0.0,1.8308796435594559
নবাগত,0.8308149427175522,0.0,1.8308149427175522
তিনেক,0.8300327360630035,0.0,1.8300327360630035
দ্বৈত,0.8293085396289825,0.0,1.8293085396289825
খানা,0.8291539698839188,0.0,1.8291539698839188
উপ,0.8279341161251068,0.0,1.8279341161251068
সর্বশেষ,0.827709898352623,0.0,1.827709898352623
ক্যাম্প,0.8271376341581345,0.0,1.8271376341581345
লেন,0.8261697888374329,0.0,1.8261697888374329
জুতা,0.825921893119812,0.0,1.825921893119812
চার্জ,0.8254029750823975,0.0,1.8254029750823975
বহাল,0.8251285254955292,0.0,1.8251285254955292
সামাল,0.8239362984895706,0.0,1.8239362984895706
সহকর্মী,0.8236563503742218,0.0,1.8236563503742218
ভাবী,0.8231041580438614,0.0,1.8231041580438614
পুলক,0.8212078660726547,0.0,1.8212078660726547
পোস্টে,0.8204138576984406,0.0,1.8204138576984406
জবাবে,0.8191674947738647,0.0,1.8191674947738647
রানা,0.8188453614711761,0.0,1.8188453614711761
নৈশ,0.8176073431968689,0.0,1.817607343196869
এরমধ্যে,0.8169786334037781,0.0,1.816978633403778
মহিল,0.8156276792287827,0.0,1.8156276792287827
জামাত,0.8152487426996231,0.0,1.815248742699623
হোতা,0.8151006549596786,0.0,1.8151006549596786
দিবস,0.8149696737527847,0.0,1.8149696737527847
নিউজ,0.8148747533559799,0.0,1.81487475335598
ফিল্ম,0.8140188604593277,0.0,1.8140188604593277
নির্যাতন,0.813981756567955,0.0,1.813981756567955
পশু,0.8138701021671295,0.0,1.8138701021671295
বনলতা,0.8137394189834595,0.0,1.8137394189834595
