word,delta_cos,neighbor_jaccard,change_score
শেলী,0.2192017436027526,0.0,1.2192017436027527
এশ,0.2177621126174926,0.0,1.2177621126174927
হঠকারী,0.2174238562583923,0.0,1.2174238562583923
সহযোদ্ধা,0.2159333825111389,0.0,1.215933382511139
ম্যাসাজ,0.2158822417259216,0.0,1.2158822417259216
অনুশোচনা,0.2141475677490234,0.0,1.2141475677490234
শ্বশুরবাড়ি,0.2080942988395691,0.0,1.208094298839569
মাস,0.2174746990203857,0.0101010101010101,1.2073736889193756
লেলিহান,0.2270482778549194,0.0204081632653061,1.2066401145896133
গি,0.1977655887603759,0.0,1.197765588760376
টাকা,0.2153300642967224,0.0204081632653061,1.1949219010314163
পানি,0.2124468088150024,0.0204081632653061,1.1920386455496963
সাক্ষা,0.1894590258598327,0.0,1.1894590258598328
তৈরি,0.1992189884185791,0.0101010101010101,1.1891179783175692
ব্যবস্থা,0.1875205039978027,0.0101010101010101,1.1774194938967926
প্রাণভিক্ষ,0.1771755218505859,0.0,1.177175521850586
রাত,0.1754316687583923,0.0101010101010101,1.1653306586573822
কারণে,0.1566996574401855,0.0,1.1566996574401855
মাগনা,0.1536698341369629,0.0,1.153669834136963
ওপর,0.1812828183174133,0.0309278350515463,1.150354983265867
